Place of interest,Place address,BiciMAD station,Station location,Distance,Available Bikes,URL google maps
Colegio Público Vicálvaro,CALLE FORGES 15,Pavones,Calle Hacienda de Pavones nº 342,3771.5768718032487,11,https://www.google.com/maps/dir/Colegio+Público+Vicálvaro/Bicimad+Pavones
Colegio Público Virgen del Cerro,CALLE MOHERNANDO 1,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,1161.3725289989222,19,https://www.google.com/maps/dir/Colegio+Público+Virgen+del+Cerro/Bicimad+Plaza+del+Encuentro
Colegio Público Virgen del Cortijo,AVENIDA MANOTERAS 63,Manuel Caldeiro,Paseo de la Castellana nº 298,2954.9378984875257,9,https://www.google.com/maps/dir/Colegio+Público+Virgen+del+Cortijo/Bicimad+Manuel+Caldeiro
Colegio Público Vázquez de Mella,CALLE BAILEN 18,Plaza de San Francisco,Plaza de San Francisco nº 5,144.77078777690048,24,https://www.google.com/maps/dir/Colegio+Público+Vázquez+de+Mella/Bicimad+Plaza+de+San+Francisco
Colegio Público Winston Churchill,AVENIDA GRAN VIA DEL ESTE 5,Pavones,Calle Hacienda de Pavones nº 342,4390.107730590746,11,https://www.google.com/maps/dir/Colegio+Público+Winston+Churchill/Bicimad+Pavones
Colegio Público de Practicas Asunción Rincón,AVENIDA FILIPINAS 5,Parque Santander,Calle Santander esquina con Avenida de Filipinas,349.3769005165445,13,https://www.google.com/maps/dir/Colegio+Público+de+Practicas+Asunción+Rincón/Bicimad+Parque+Santander
Colegio Público Álvaro de Bazan,CALLE ZURICH 10,Pavones,Calle Hacienda de Pavones nº 342,3854.840597174672,11,https://www.google.com/maps/dir/Colegio+Público+Álvaro+de+Bazan/Bicimad+Pavones
Escuela infantil municipal Agua Dulce,CALLE LEÑEROS 25,Pablo Iglesias,Calle Francisco Balseiro nº 1,329.8103153996904,16,https://www.google.com/maps/dir/Escuela+infantil+municipal+Agua+Dulce/Bicimad+Pablo+Iglesias
Escuela infantil municipal Altair,CALLE JOSE DE CADALSO 43,Caramuel,Calle Caramuel nº 51,5656.053381651263,5,https://www.google.com/maps/dir/Escuela+infantil+municipal+Altair/Bicimad+Caramuel
Escuela infantil municipal Amanecer,CALLE TITANIO 7,Pavones,Calle Hacienda de Pavones nº 342,3745.7614084674296,11,https://www.google.com/maps/dir/Escuela+infantil+municipal+Amanecer/Bicimad+Pavones
Escuela infantil municipal Ana de Austria,CALLE ANA DE AUSTRIA 32,Manuel Caldeiro,Paseo de la Castellana nº 298,3757.4467986473765,9,https://www.google.com/maps/dir/Escuela+infantil+municipal+Ana+de+Austria/Bicimad+Manuel+Caldeiro
Escuela infantil municipal Campanilla,CALLE AVILA 4,Estrecho,Calle Navarra nº 1,168.21795450608525,2,https://www.google.com/maps/dir/Escuela+infantil+municipal+Campanilla/Bicimad+Estrecho
Escuela infantil municipal Cielo Azul,BULEVAR INDALECIO PRIETO 16,Pavones,Calle Hacienda de Pavones nº 342,1502.6037750911887,11,https://www.google.com/maps/dir/Escuela+infantil+municipal+Cielo+Azul/Bicimad+Pavones
Escuela infantil municipal Doña Francisquita,CALLE CAMBADOS 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,4418.494579245546,14,https://www.google.com/maps/dir/Escuela+infantil+municipal+Doña+Francisquita/Bicimad+Carlota+O’Neill
Escuela infantil municipal El Alba,CALLE TOLEDO 181,Pirámides,Calle Toledo nº 181,36.927471536962905,15,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Alba/Bicimad+Pirámides
Escuela infantil municipal El Barberillo de Lavapiés,CALLE GRANITO 32,Beata,Calle Alicante nº 3,402.20208074904787,16,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Barberillo+de+Lavapiés/Bicimad+Beata
Escuela infantil municipal El Bateo,CALLE PINOS DE OSUNA 3,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5946.702451323207,13,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Bateo/Bicimad+Gutierre+de+Cetina
Escuela infantil municipal El Bosque,CALLE DELICIAS 32,Batalla del Salado,Paseo Santa María de la Cabeza nº 29,43.64129648049801,15,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Bosque/Bicimad+Batalla+del+Salado
Escuela infantil municipal El Caserío,CALLE MARIA TERESA ROBLEDO 3,Concordia,Calle Arroyo del Olivar nº 6,1157.6214734576506,2,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Caserío/Bicimad+Concordia
Escuela infantil municipal El Duende,PLAZA DOS DE MAYO 2,San Andrés,Calle San Andrés nº 18,111.75136149570733,10,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Duende/Bicimad+San+Andrés
Escuela infantil municipal El Lirón,CALLE PICO DE LOS ARTILLEROS 123,Marroquina,Calle Camino de los Vinateros nº 108,878.7045350859293,16,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Lirón/Bicimad+Marroquina
Escuela infantil municipal El Manantial,CALLE CARLOS FUENTES 2,Caramuel,Calle Caramuel nº 51,1884.9653132475182,5,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Manantial/Bicimad+Caramuel
Escuela infantil municipal El Olivar,CALLE OLIVAR 48,Jesús y María,Calle Lavapiés nº 34,125.37669933021725,5,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Olivar/Bicimad+Jesús+y+María
Escuela infantil municipal El Rocío,CARRETERA CARABANCHEL A VILLAVERDE 107,Glorieta de Cádiz,Calle Antonio López nº 129,4289.1594496577945,12,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Rocío/Bicimad+Glorieta+de+Cádiz
Escuela infantil municipal El Sol,CALLE ENRIQUE JARDIEL PONCELA 8,Pío XII,Avenida Pío XII nº 3,760.5589720833337,5,https://www.google.com/maps/dir/Escuela+infantil+municipal+El+Sol/Bicimad+Pío+XII
Escuela infantil municipal Escuelas de San Antón,CALLE FARMACIA 13,Colegio Arquitectos,Calle Hortaleza nº 63,55.4809083265858,16,https://www.google.com/maps/dir/Escuela+infantil+municipal+Escuelas+de+San+Antón/Bicimad+Colegio+Arquitectos
Escuela infantil municipal Fernando el Católico,CALLE FERNANDO EL CATOLICO 16,Fernando el Católico,Calle Fernando el Católico nº 19,147.7415517511611,6,https://www.google.com/maps/dir/Escuela+infantil+municipal+Fernando+el+Católico/Bicimad+Fernando+el+Católico
Escuela infantil municipal Gigantes y Cabezudos,CALLE RAFAEL BERGAMIN 28,Condesa de Venadito,Calle Condesa de Venadito nº 2,873.6103565107443,2,https://www.google.com/maps/dir/Escuela+infantil+municipal+Gigantes+y+Cabezudos/Bicimad+Condesa+de+Venadito
Escuela infantil municipal Hiedra,CALLE AMPOSTA 34,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,2541.9705080811364,13,https://www.google.com/maps/dir/Escuela+infantil+municipal+Hiedra/Bicimad+Gutierre+de+Cetina
Escuela infantil municipal La Alegría de la Huerta,CALLE HELSINKI 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,4318.582736705867,13,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Alegría+de+la+Huerta/Bicimad+Gutierre+de+Cetina
Escuela infantil municipal La Brisa,AVENIDA ASTURIAS 72,Remonta,Calle Azucenas nº 1,1153.1865666658014,4,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Brisa/Bicimad+Remonta
Escuela infantil municipal La Bruja Avería - Lolo Rico,CALLE RODAS 20,Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,317.85559575149813,10,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Bruja+Avería+-+Lolo+Rico/Bicimad+Plaza+de+Nelson+Mandela
Escuela infantil municipal La Caracola,CALLE BELORADO 1,Pedro Rico,Calle Pedro Rico nº 4,877.5757588856253,2,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Caracola/Bicimad+Pedro+Rico
Escuela infantil municipal La Chulapona,CALLE BAHIA DE PALMA 13,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6584.274983083323,13,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Chulapona/Bicimad+Gutierre+de+Cetina
Escuela infantil municipal La Colina,CALLE NUESTRA SEÑORA DE ARACELI 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,8357.094603404386,13,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Colina/Bicimad+Gutierre+de+Cetina
Escuela infantil municipal La Cornisa,CALLE CRISTO DE LA VICTORIA 23,Glorieta de Cádiz,Calle Antonio López nº 129,883.6304952231462,12,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Cornisa/Bicimad+Glorieta+de+Cádiz
Escuela infantil municipal La Corte de Faraón,CALLE CHANTADA 41,Francos Rodríguez,Calle Francos Rodríguez nº 62,1988.7062495675382,8,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Corte+de+Faraón/Bicimad+Francos+Rodríguez
Escuela infantil municipal La Gran Vía,CALLE SILVANO 99,Carlota O’Neill,Calle Carlota O'Neill nº 32,2672.79605392377,14,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Gran+Vía/Bicimad+Carlota+O’Neill
Escuela infantil municipal La Luna,CALLE BENIMAMET 109,Embajadores 191,Calle Sodio nº 1B,5032.0650804712905,8,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Luna/Bicimad+Embajadores+191
Escuela infantil municipal La Melonera,CALLE EROS 2,Méndez Álvaro,Calle Retama nº 5,520.7819103748888,15,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Melonera/Bicimad+Méndez+Álvaro
Escuela infantil municipal La Oliva,CALLE GAINZA 46,Glorieta de Cádiz,Calle Antonio López nº 129,3089.1981011128587,12,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Oliva/Bicimad+Glorieta+de+Cádiz
Escuela infantil municipal La Paloma,CALLE TABERNILLAS 2,Plaza de los Carros,Carrera de San Francisco nº 1,37.05888360296307,21,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Paloma/Bicimad+Plaza+de+los+Carros
Escuela infantil municipal La Patria Chica,CALLE PATRIMONIO DE LA HUMANIDAD 31,Caramuel,Calle Caramuel nº 51,6529.866935204619,5,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Patria+Chica/Bicimad+Caramuel
Escuela infantil municipal La Revoltosa,CALLE JOSE ANTONIO REBOLLEDO Y PALMA 18,Pavones,Calle Hacienda de Pavones nº 342,6362.815863162223,11,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Revoltosa/Bicimad+Pavones
Escuela infantil municipal La Rosa del Azafrán,CALLE CUEVA DE MONTESINOS 2,Pedro Rico,Calle Pedro Rico nº 4,2161.6028446470655,2,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Rosa+del+Azafrán/Bicimad+Pedro+Rico
Escuela infantil municipal La Verbena de la Paloma,CALLE FUERTE DE NAVIDAD 17,Caramuel,Calle Caramuel nº 51,5263.940804618286,5,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+Verbena+de+la+Paloma/Bicimad+Caramuel
Escuela infantil municipal La del Manojo de Rosas,CALLE RAVENA 12,Pavones,Calle Hacienda de Pavones nº 342,2855.192232825386,11,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+del+Manojo+de+Rosas/Bicimad+Pavones
Escuela infantil municipal La del Soto del Parral,CALLE TROMPAS 19,Caramuel,Calle Caramuel nº 51,6055.379786643666,5,https://www.google.com/maps/dir/Escuela+infantil+municipal+La+del+Soto+del+Parral/Bicimad+Caramuel
Escuela infantil municipal Las Amapolas,CALLE OBOLO 14,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,4126.031650015412,4,https://www.google.com/maps/dir/Escuela+infantil+municipal+Las+Amapolas/Bicimad+Marqués+de+Vadillo
Escuela infantil municipal Las Azaleas,CALLE PORTUGALETE 6,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,733.574332299358,13,https://www.google.com/maps/dir/Escuela+infantil+municipal+Las+Azaleas/Bicimad+Gutierre+de+Cetina
Escuela infantil municipal Las Leandras,CALLE DEYANIRA 2,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,5471.053946706668,13,https://www.google.com/maps/dir/Escuela+infantil+municipal+Las+Leandras/Bicimad+Gutierre+de+Cetina
Escuela infantil municipal Las Mercedes,CALLE SAMANIEGO 22,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6906.6866634964845,13,https://www.google.com/maps/dir/Escuela+infantil+municipal+Las+Mercedes/Bicimad+Gutierre+de+Cetina
Escuela infantil municipal Las Nubes,CALLE ANTONIO NEBRIJA 7,Méndez Álvaro,Calle Méndez Álvaro nº 11,346.89181869475044,5,https://www.google.com/maps/dir/Escuela+infantil+municipal+Las+Nubes/Bicimad+Méndez+Álvaro
Escuela infantil municipal Las Pléyades,AVENIDA SECUNDINO ZUAZO 34,Carlota O’Neill,Calle Carlota O'Neill nº 32,6571.467112466235,14,https://www.google.com/maps/dir/Escuela+infantil+municipal+Las+Pléyades/Bicimad+Carlota+O’Neill
Escuela infantil municipal Las Viñas,CALLE ESTUDIO 6,Facultad Derecho,Avenida Complutense nº 23,6372.656651466712,9,https://www.google.com/maps/dir/Escuela+infantil+municipal+Las+Viñas/Bicimad+Facultad+Derecho
Escuela infantil municipal Los Gavilanes,CALLE TIZIANO 7,Estrecho,Calle Navarra nº 1,283.714189685921,2,https://www.google.com/maps/dir/Escuela+infantil+municipal+Los+Gavilanes/Bicimad+Estrecho
Escuela infantil municipal Los Juncos,PLAZA JUVENTUD 7,Pavones,Calle Hacienda de Pavones nº 342,3358.428428830191,11,https://www.google.com/maps/dir/Escuela+infantil+municipal+Los+Juncos/Bicimad+Pavones
Escuela infantil municipal Los Pinos,CALLE ROCAFORT 2,Embajadores 191,Calle Sodio nº 1B,5345.620250454459,8,https://www.google.com/maps/dir/Escuela+infantil+municipal+Los+Pinos/Bicimad+Embajadores+191
Escuela infantil municipal Los sobrinos del Capitan Grant,AVENIDA LA GAVIA 22,Pavones,Calle Hacienda de Pavones nº 342,3929.7513355932124,11,https://www.google.com/maps/dir/Escuela+infantil+municipal+Los+sobrinos+del+Capitan+Grant/Bicimad+Pavones
Escuela infantil municipal Luis Bello,CALLE JUAN BAUTISTA DE TOLEDO 5,Prosperidad,Calle Suero de Quiñones nº 2,142.08497620184932,6,https://www.google.com/maps/dir/Escuela+infantil+municipal+Luis+Bello/Bicimad+Prosperidad
Escuela infantil municipal Luisa Fernanda,CALLE COCHERON DE LA VILLA 29,Pavones,Calle Hacienda de Pavones nº 342,2103.611452817117,11,https://www.google.com/maps/dir/Escuela+infantil+municipal+Luisa+Fernanda/Bicimad+Pavones
Escuela infantil municipal Margarita Salas,CALLE CAVANILLES 58,Valderribas,Calle Doctor Esquerdo nº 191,130.4650608715753,17,https://www.google.com/maps/dir/Escuela+infantil+municipal+Margarita+Salas/Bicimad+Valderribas
Escuela infantil municipal Molinos de Viento,CAMINO FUENTE DE ARRIBA 4,Pavones,Calle Hacienda de Pavones nº 342,2769.893666905914,11,https://www.google.com/maps/dir/Escuela+infantil+municipal+Molinos+de+Viento/Bicimad+Pavones
Escuela infantil municipal Osa Menor,CALLE MEJIA LEQUERICA 21,Barceló,Calle Barceló nº 7,182.72020138940795,17,https://www.google.com/maps/dir/Escuela+infantil+municipal+Osa+Menor/Bicimad+Barceló
Escuela infantil municipal Parque de Ingenieros,CALLE LA TABERNERA DEL PUERTO 26,Glorieta de Cádiz,Calle Antonio López nº 129,3798.99304311282,12,https://www.google.com/maps/dir/Escuela+infantil+municipal+Parque+de+Ingenieros/Bicimad+Glorieta+de+Cádiz
Escuela infantil municipal Ruiz Jiménez,CALLE JOSE PICON 17,Diego de león,Calle Alonso Heredia nº 1,188.19400639544492,3,https://www.google.com/maps/dir/Escuela+infantil+municipal+Ruiz+Jiménez/Bicimad+Diego+de+león
Escuela infantil municipal Tarabilla,CALLE GANDHI 14,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,949.0645010612133,13,https://www.google.com/maps/dir/Escuela+infantil+municipal+Tarabilla/Bicimad+Gutierre+de+Cetina
Escuela infantil municipal VeoVeo,CALLE CONDESA DE VENADITO 3,Condesa de Venadito,Calle Condesa de Venadito nº 2,255.29561463922857,2,https://www.google.com/maps/dir/Escuela+infantil+municipal+VeoVeo/Bicimad+Condesa+de+Venadito
